id,latitude,longitude,startDate,startTime,endTime,timezone,displayImgUrl
9182,36.91,-122.02,2016-12-21,13:50:00,13:50:00,America/Los_Angeles,https://au-hw-media-m.happywhale.com/d40b9e6e-07cf-4f20-8cb4-4042ba22a00b.jpg
11486,36.91,-122.02,2016-12-21,13:21:00,13:21:00,America/Los_Angeles,https://au-hw-media-m.happywhale.com/c5522187-058e-4a1a-83d7-893560ba6b2c.jpg
