encounter_id,encounter_time,longitude,latitude,img_path
9182,2016-12-21T13:50:00,-122.02,36.91,https://au-hw-media-m.happywhale.com/d40b9e6e-07cf-4f20-8cb4-4042ba22a00b.jpg
11486,2016-12-21T13:21:00,-122.02,36.91,https://au-hw-media-m.happywhale.com/c5522187-058e-4a1a-83d7-893560ba6b2c.jpg
