latitude,longitude,approved,attrs,startDate,startTime,endDate,endTime,timezone,displayImgId,displayThumbUrl,displayImgType,displayImgUrl,id,accuracy,precision,displayImgLicense,maxCount,minCount,orgIds,public,region,species,system:time_start
36.727764,-122.068258,True,,2024-07-08,15:17:52,,15:17:52,-07:00,1110237,https://au-hw-media-t.happywhale.com/c9fe66f6-f55e-40aa-9c50-c31f3fa735a4.jpg,IMAGE,https://au-hw-media-m.happywhale.com/c9fe66f6-f55e-40aa-9c50-c31f3fa735a4.jpg,471768,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720389600000
36.809,-122.077,True,,2024-07-08,11:47:23,,11:47:23,America/Los_Angeles,1119694,https://au-hw-media-t.happywhale.com/da8d1064-2371-4818-ae67-186e1735c742.jpg,IMAGE,https://au-hw-media-m.happywhale.com/da8d1064-2371-4818-ae67-186e1735c742.jpg,475956,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720389600000
36.809,-122.077,True,,2024-07-08,12:03:43,,12:03:43,America/Los_Angeles,1119696,https://au-hw-media-t.happywhale.com/3f31c73f-bc08-42b4-9add-b871d78b30cc.jpg,IMAGE,https://au-hw-media-m.happywhale.com/3f31c73f-bc08-42b4-9add-b871d78b30cc.jpg,475957,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720389600000
36.809,-122.077,True,,2024-07-08,12:54:28,,12:56:25,America/Los_Angeles,1119698,https://au-hw-media-t.happywhale.com/46dc42ed-98f0-413a-9936-b7fed9c5ff84.jpg,IMAGE,https://au-hw-media-m.happywhale.com/46dc42ed-98f0-413a-9936-b7fed9c5ff84.jpg,475958,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720389600000
36.809,-122.077,True,,2024-07-08,12:56:25,,12:56:25,America/Los_Angeles,1119697,https://au-hw-media-t.happywhale.com/cd2376a9-08cd-4552-a6b2-2d951d5ed20a.jpg,IMAGE,https://au-hw-media-m.happywhale.com/cd2376a9-08cd-4552-a6b2-2d951d5ed20a.jpg,475959,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720389600000
36.706389,-122.077222,True,,2024-07-11,,,,America/Los_Angeles,1114896,https://au-hw-media-t.happywhale.com/958e49b5-c73c-48f0-94fc-f76272c912e7.jpg,IMAGE,https://au-hw-media-m.happywhale.com/958e49b5-c73c-48f0-94fc-f76272c912e7.jpg,474801,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720648800000
36.701667,-122.072222,True,,2024-07-11,,,,America/Los_Angeles,1114912,https://au-hw-media-t.happywhale.com/7f7097de-bea1-4167-aa3e-eede6b59323a.jpg,IMAGE,https://au-hw-media-m.happywhale.com/7f7097de-bea1-4167-aa3e-eede6b59323a.jpg,474802,PRECISE,MOBILE_DEVICE,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720648800000
36.748477,-122.066232,True,,2024-07-15,10:34:50,,10:34:50,-07:00,1116796,https://au-hw-media-t.happywhale.com/c811516e-0bcd-4d92-a1ba-40987ad3adb2.jpg,IMAGE,https://au-hw-media-m.happywhale.com/c811516e-0bcd-4d92-a1ba-40987ad3adb2.jpg,475105,PRECISE,CAMERA,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720994400000
36.747752,-122.068655,True,,2024-07-15,10:34:50,,10:35:22,-07:00,1116481,https://au-hw-media-t.happywhale.com/f1b741fd-2cb6-41da-9422-5bfc0ea059c4.jpg,IMAGE,https://au-hw-media-m.happywhale.com/f1b741fd-2cb6-41da-9422-5bfc0ea059c4.jpg,475104,PRECISE,CAMERA,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720994400000
36.743868,-122.083552,True,,2024-07-15,11:07:18,,11:08:06,-07:00,1116797,https://au-hw-media-t.happywhale.com/02508ec5-4baa-45a2-9ac0-d363cd62132c.jpg,IMAGE,https://au-hw-media-m.happywhale.com/02508ec5-4baa-45a2-9ac0-d363cd62132c.jpg,475106,PRECISE,CAMERA,PUBLIC_DOMAIN,1,1,[None],True,"California, United States",humpback_whale,1720994400000
